Listing ID,Sale Price,LTM Multiple,Offer Info,Last 12 Months,3-Year Average,Earnings Since 2020,Dollar Age,Track Included,Last Transaction Price,Last Transaction Date,Term,Years Remaining,Expiration Date,Marketplace Median,Minimum Bid,Asset ID,YouTube Link,Earnings Since 2021,Tracks Included,Earnings Since 2019,Earnings Since 2011,Earnings Since 2013,Earnings Since 2006,Earnings Since 2018,Earnings Since 2015,Earnings Since 2017,Earnings Since 2009,Earnings Since 2012,Earnings Since 2016,Earnings Since 2001,Earnings Since 2010,Earnings Since 2014
4829,"$25,750",10.37 x LTM,26 offers made by 6 investors,"$2,484","$2,540",,4.81 Years,,,,Life of Rights,,,"$**,***","$5,000",4829,https://www.youtube.com/watch?v=VTASffPQGhY,,91,,,,,,,"$16,690",,,,,,
4827,"$52,500",16.98 x LTM,13 offers made by 3 investors,"$3,093","$2,788",,10.02 Years,,,,Life of Rights,,,"$**,***","$25,000",4827,https://www.youtube.com/watch?v=lA-gGl6qihQ,,46,,,,,,,,,"$24,623",,,,
4821,"$43,000",4.88 x LTM,13 offers made by 6 investors,"$8,809",—,"$20,419",3.43 Years,,,,Life of Rights,,,"$**,***","$17,000",4821,https://www.youtube.com/watch?v=AS-ffceb0HY,,5,,,,,,,,,,,,,
4817,"$35,400",4.32 x LTM,5 offers made by 2 investors,"$8,204","$7,305",,22.50 Years,,,,Term Advance 10-Year,10.00,"September 27, 2032","$**,***","$8,165",4817,https://www.youtube.com/watch?v=pHVTd0sBUhQ,,5,,,,,,,,,"$51,389",,,,
4831,"$33,400",10.00 x LTM,42 offers made by 8 investors,"$3,339","$2,521",,20.98 Years,1,,,Life of Rights,,,"$**,***","$15,000",4831,https://www.youtube.com/watch?v=HNGaa5Opfmc,,,,,,,"$8,594",,,,,,,,
4811,"$92,000",1.67 x LTM,16 offers made by 5 investors,"$55,138",—,,1.30 Years,1,,,Life of Rights,,,—,"$30,000",4811,https://www.youtube.com/watch?v=t_oMxYitTms,"$55,138",,,,,,,,,,,,,,
4814,"$7,799",5.57 x LTM,,"$1,400","$1,537",,13.48 Years,,,,Term Advance 10-Year,10.00,"September 23, 2032","$*,***","$2,500",4814,https://www.youtube.com/watch?v=fry0Gx2wWas,,17,,"$12,858",,,,,,,,,,,
4557,"$8,000",7.43 x LTM,9 offers made by 8 investors,"$1,077",$845,,1.97 Years,,"$8,500","March 16, 2022",Life of Rights,,,"$*,***","$7,500",4557,https://www.youtube.com/watch?v=wVo6jw6xHcQ,,13,"$2,555",,,,,,,,,,,,
4826,"$11,500",5.94 x LTM,6 offers made by 4 investors,"$1,935","$2,296",,3.11 Years,,,,Life of Rights,,,"$**,***","$1,935",4826,https://www.youtube.com/watch?v=tHMaxILIvdI,,2,"$6,888",,,,,,,,,,,,
4764,"$181,000",8.73 x LTM,9 offers made by 5 investors,"$20,728","$20,800",,21.46 Years,,,,Life of Rights,,,"$***,***","$75,000",4764,https://www.youtube.com/watch?v=08iGSxMieVU,,490,,,,,,,,,,"$122,236",,,
4006,"$60,123",21.80 x LTM,95 offers made by 6 investors,"$2,758","$2,681",,18.01 Years,,"$27,250","February 17, 2021",Life of Rights,,,"$**,***","$50,000",4006,https://www.youtube.com/watch?v=ZxRG7uoFDo4,,123,,,,,,,,,,,"$144,751",,
4721,"$19,500",14.64 x LTM,,"$1,332","$1,185",,2.27 Years,,"$13,500","June 30, 2022",Life of Rights,,,"$*,***","$18,000",4721,,,55,,,,,"$3,903",,,,,,,,
4805,"$8,900",5.05 x LTM,21 offers made by 4 investors,"$1,764","$1,320",,3.23 Years,,,,Term Advance 10-Year,10.00,"September 14, 2032",—,"$3,000",4805,https://www.youtube.com/watch?v=rZgbI44kksE,,28,,,,,"$4,096",,,,,,,,
4799,"$27,000",2.91 x LTM,11 offers made by 5 investors,"$9,271",—,,1.14 Years,1,,,Life of Rights,,,—,"$2,000",4799,https://www.youtube.com/watch?v=PkKnp4SdE-w,"$9,271",,,,,,,,,,,,,,
4247,"$27,800",6.74 x LTM,20 offers made by 9 investors,"$4,126","$4,638",,2.69 Years,,"$21,500","September 28, 2021",Life of Rights,,,"$**,***","$27,800",4247,https://www.youtube.com/watch?v=oIm-GQml3ew,,11,"$13,915",,,,,,,,,,,,
4786,"$25,300",5.76 x LTM,32 offers made by 10 investors,"$4,392","$4,029",,4.25 Years,,,,Term Advance 30-Year,30.00,"September 12, 2052",—,"$4,437",4786,,,189,,,,,,,,,,"$22,734",,,
